Muscle_Group,Exercise,Difficulty_Level,Equipment_Required,Target_Intensity,Primary_Muscle_Group,Secondary_Muscle_Group,Exercise_Duration,Recovery_Time,Exercise_Type,Calories_Burned,Exercise_Progression,Injury_Risk_Level
Back / Wing,Brachialis Pull-up,Advanced,None,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Abs,Full Crunch Machine,Intermediate,Crunch Machine,Moderate,Core,None,8 minutes,2 minutes,Strength,80,Increase resistance,Low
Hip,Bodyweight Box Squat,Beginner,None,Low,Hips,Quads,8 minutes,1 minute,Strength,70,Increase duration,Low
Chest,Single Dumbbell Close-grip Press,Intermediate,Dumbbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Abs,Front Plank with Arm Lift,Intermediate,None,Moderate,Core,Shoulders,8 minutes,2 minutes,Isometric,80,Increase duration,Low
Abs,Bhujangasana | Cobra Abdominal Stretch,Beginner,None,Low,Core,None,5 minutes,1 minute,Stretch,10,None,Low
Hip,Step Up Single Leg Balance with Bicep Curl,Intermediate,Dumbbell,Moderate,Hips,Biceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Erector Spinae,Bird Dog,Beginner,None,Low,Lower Back,None,8 minutes,1 minute,Strength,70,Increase duration,Low
Abs,Ab Straps Leg Raise,Intermediate,Ab Straps,Moderate,Core,Lower Abs,8 minutes,2 minutes,Strength,80,Increase reps,Low
Hip,Dumbbell Step-Up,Intermediate,Dumbbell,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Hip,Belt Squat,Intermediate,Belt,Moderate,Hips,Quads,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Back / Wing,Close Grip Lat-Pulldown,Intermediate,Lat-Pulldown Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Back / Wing,Seated Cable Rope Row,Intermediate,Cable Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Leg,Lever Single Leg Curl,Intermediate,Lever Machine,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Hip,Reverse Lunge,Intermediate,None,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase reps,Low
Chest,Kneeling Diamond Push-Up,Beginner,None,Low,Chest,Triceps,5 minutes,1 minute,Strength,50,Increase reps,Low
Cardio,Jack Burpees,Intermediate,None,Moderate,Cardio,None,10 minutes,2 minutes,Aerobic,90,None,Low
Leg,Single Leg Step Down,Intermediate,None,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase reps,Low
Forearm,Behind The Back Barbell Wrist Curl,Intermediate,Barbell,Moderate,Forearms,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Calisthenic,Dips Between Chairs,Beginner,None,Low,Upper Body,None,8 minutes,1 minute,Strength,70,Increase reps,Low
Shoulders,Cable Seated Shoulder Internal Rotation,Intermediate,Cable Machine,Moderate,Shoulders,Rotator Cuff,10 minutes,2 minutes,Strength,85,Increase resistance,Low
Shoulders,Half Kneeling Cable External Rotation,Intermediate,Cable Machine,Moderate,Shoulders,Rotator Cuff,10 minutes,2 minutes,Strength,85,Increase resistance,Low
Shoulders,Landmine Lateral Raise,Intermediate,Landmine,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Back / Wing,Cable Seated Pullover,Intermediate,Cable Machine,Moderate,Back,Chest,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Shoulders,Seated Dumbbell Front Raise,Intermediate,Dumbbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Cardio,Astride Jumps,Beginner,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,80,None,Low
Abs,Boat Pose,Beginner,None,Low,Core,None,5 minutes,1 minute,Isometric,50,Increase duration,Low
Back / Wing,Scapular Protraction and Retraction,Beginner,None,Low,Back,None,8 minutes,1 minute,Strength,70,Increase duration,Low
Hip,Dumbbell Glute Bridge,Intermediate,Dumbbell,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Back / Wing,Ring Inverted Row,Intermediate,Rings,Moderate,Back,None,10 minutes,2 minutes,Strength,90,Increase reps,Low
Chest,Push-up With Push-up Bars,Beginner,Push-up Bars,Low,Chest,Triceps,5 minutes,1 minute,Strength,50,Increase reps,Low
Abs,Seated Twist Machine,Intermediate,Twist Machine,Moderate,Core,Obliques,8 minutes,2 minutes,Strength,80,Increase resistance,Low
Cardio,Long Jump,Beginner,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,80,None,Low
Leg,Lever Assisted Single Leg Press,Intermediate,Lever Machine,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Triceps,Cable One-Arm Overhead Triceps Extension,Intermediate,Cable Machine,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Triceps,Standing Barbell Triceps Extension,Intermediate,Barbell,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Nordic Hamstring Curl,Advanced,None,High,Legs,Hamstrings,12 minutes,3 minutes,Strength,120,Increase reps,High
Back / Wing,Inverted Row,Intermediate,None,Moderate,Back,None,10 minutes,2 minutes,Strength,90,Increase reps,Low
Chest,Smith Machine Decline Bench Press,Intermediate,Smith Machine,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Chest,One Arm Decline Cable Fly,Intermediate,Cable Machine,Moderate,Chest,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Full Body,One Arm Kettlebell Snatch,Advanced,Kettlebell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Back / Wing,Lever Cable Rear Pulldown,Intermediate,Cable Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Biceps,Close Grip Z-Bar Curl,Intermediate,Z-Bar,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Dumbbell Scott Curl,Intermediate,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Cross Cable Face Pull,Intermediate,Cable Machine,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Back / Wing,Shotgun Row,Intermediate,Cable Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Back / Wing,Elbow Reverse Push-Up,Intermediate,None,Moderate,Back,None,10 minutes,2 minutes,Strength,90,Increase reps,Low
Calisthenic,Impossible Dips,Advanced,None,High,Upper Body,None,10 minutes,3 minutes,Strength,120,Increase reps,High
Calisthenic,Korean Dips,Advanced,None,High,Upper Body,None,10 minutes,3 minutes,Strength,120,Increase reps,High
Calisthenic,Straight Bar Dip,Advanced,None,High,Upper Body,None,10 minutes,3 minutes,Strength,120,Increase reps,High
Abs,Inchworm,Beginner,None,Low,Core,None,8 minutes,1 minute,Strength,70,Increase duration,Low
Back / Wing,Weighted One Arm Pull-up,Advanced,Weight Plate,High,Back,Biceps,10 minutes,3 minutes,Strength,150,Increase weight,High
Chest,Dumbbell One Arm Reverse Grip Press,Intermediate,Dumbbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Back / Wing,Cable Crossover Lat Pulldown,Intermediate,Cable Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Back / Wing,One Arm Landmine Row,Intermediate,Landmine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Abs,Front Plank With Arm And Leg Lift,Advanced,None,High,Core,Shoulders,10 minutes,3 minutes,Isometric,100,Increase duration,High
Leg,Horizontal Leg Press,Intermediate,Leg Press Machine,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Hip,Resistance Band Reverse Hyperextension,Intermediate,Resistance Band,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Shoulders,Resistance Band Seated Shoulder Press,Intermediate,Resistance Band,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Hip,Resistance Band Toe Touch,Beginner,Resistance Band,Low,Hips,Glutes,8 minutes,1 minute,Strength,70,Increase duration,Low
Biceps,Barbell Curl On Arm Blaster,Intermediate,Barbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Arm Blaster Hammer Curl,Intermediate,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Dumbbell Curl On Arm Blaster,Intermediate,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Chest,Lever One-Arm Chest Press,Intermediate,Lever Machine,Moderate,Chest,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Abs,Weighted Lying Twist,Intermediate,Weight Plate,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Standing One Arm Chest Stretch,Beginner,None,Low,Biceps,None,5 minutes,1 minute,Stretch,10,None,Low
Hip,Kneeling Hip Flexor Stretch,Beginner,None,Low,Hips,None,5 minutes,1 minute,Stretch,10,None,Low
Leg,Standing Quadriceps Stretch,Beginner,None,Low,Legs,None,5 minutes,1 minute,Stretch,10,None,Low
Chest,Single-Arm Medicine Ball Push-Up,Intermediate,Medicine Ball,Moderate,Chest,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Moderate
Chest,Stability Ball Decline Push-Up,Intermediate,Stability Ball,Moderate,Chest,Triceps,10 minutes,2 minutes,Strength,90,Increase duration,Moderate
Chest,Dumbbell Pullover On Stability Ball,Intermediate,Dumbbell,Moderate,Chest,Back,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Chest,Stability Ball Push-Up,Beginner,Stability Ball,Low,Chest,Triceps,5 minutes,1 minute,Strength,50,Increase duration,Low
Abs,Swiss Ball Rollout,Intermediate,Swiss Ball,Moderate,Core,None,8 minutes,2 minutes,Strength,80,Increase duration,Low
Hip,Exercise Ball Wall Squat,Beginner,Exercise Ball,Low,Hips,Quads,8 minutes,1 minute,Strength,70,Increase duration,Low
Abs,Weighted Side Bend On Stability Ball,Intermediate,Weight Plate,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase weight,Low
Triceps,Exercise Ball Triceps Extension,Intermediate,Exercise Ball,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase duration,Low
Abs,Stability Ball V-Up,Intermediate,Stability Ball,Moderate,Core,Lower Abs,10 minutes,2 minutes,Strength,90,Increase duration,Low
Abs,Exercise Ball Frog Crunch,Intermediate,Exercise Ball,Moderate,Core,None,8 minutes,2 minutes,Strength,80,Increase duration,Low
Leg,Leg Curl On Stability Ball,Intermediate,Stability Ball,Moderate,Legs,Hamstrings,10 minutes,2 minutes,Strength,90,Increase duration,Low
Chest,Dumbbell Decline One-Arm Hammer Press,Intermediate,Dumbbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Calisthenic,Bench Pike Push-up,Intermediate,None,Moderate,Upper Body,None,8 minutes,2 minutes,Strength,80,Increase reps,Low
Calisthenic,Pike Push-up,Intermediate,None,Moderate,Upper Body,None,8 minutes,2 minutes,Strength,80,Increase reps,Low
Shoulders,Tall Kneeling One Arm Kettlebell Press,Intermediate,Kettlebell,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Cardio,Kettlebell Clean and Jerk,Advanced,Kettlebell,High,Cardio,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Hip,Kettlebell Goblet Squat,Intermediate,Kettlebell,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase weight,Low
Back / Wing,Lever Reverse T-Bar Row,Intermediate,Lever Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Biceps,One Arm Biceps Curl,Intermediate,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Erector Spinae,Kettlebell Deadlift,Intermediate,Kettlebell,Moderate,Lower Back,Glutes,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Back / Wing,Kettlebell Bent Over Row,Intermediate,Kettlebell,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Leg,Barbell Bench Front Squat,Advanced,Barbell,High,Legs,None,15 minutes,3 minutes,Strength,200,Increase weight,High
Cardio,Dumbbell Burpees,Intermediate,Dumbbell,Moderate,Cardio,None,10 minutes,2 minutes,Aerobic,100,None,Moderate
Erector Spinae,Standing Toe Touches,Beginner,None,Low,Lower Back,None,5 minutes,1 minute,Stretch,10,None,Low
Leg,Standing Side Toe Touching,Beginner,None,Low,Legs,None,5 minutes,1 minute,Stretch,10,None,Low
Chest,Weighted Push-up,Intermediate,Weight Plate,Moderate,Chest,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Moderate
Hip,Band Lying Hip External Rotation,Beginner,Resistance Band,Low,Hips,Glutes,8 minutes,1 minute,Strength,70,Increase duration,Low
Back / Wing,Full Range Of Motion Lat Pulldown,Intermediate,Lat-Pulldown Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Cardio,Ski Step,Beginner,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,80,None,Low
Cardio,Dumbbell Split Jump,Intermediate,Dumbbell,Moderate,Cardio,None,10 minutes,2 minutes,Aerobic,100,None,Moderate
Hip,Banded Step-up,Intermediate,Resistance Band,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Leg,Barbell Curtsey Lunge,Intermediate,Barbell,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Cardio,Dumbbell Jump Squat,Intermediate,Dumbbell,Moderate,Cardio,None,10 minutes,2 minutes,Aerobic,100,None,Moderate
Leg,Barbell Split Squat,Intermediate,Barbell,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Lever Shoulder Press (Hammer Grip),Intermediate,Lever Machine,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Abs,Cable Seated Cross Arm Twist,Intermediate,Cable Machine,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Leg,All Fours Squad Stretch,Beginner,None,Low,Legs,None,5 minutes,1 minute,Stretch,10,None,Low
Back / Wing,Chin-Up,Intermediate,None,Moderate,Back,Biceps,10 minutes,2 minutes,Strength,110,Increase reps,Moderate
Forearm,Wrist Ulnar Deviator And Extensor Stretch,Beginner,None,Low,Forearms,None,5 minutes,1 minute,Stretch,10,None,Low
Forearm,Reverse Wrist Stretch,Beginner,None,Low,Forearms,None,5 minutes,1 minute,Stretch,10,None,Low
Forearm,Wrist Stretch,Beginner,None,Low,Forearms,None,5 minutes,1 minute,Stretch,10,None,Low
Abs,Burpees,Beginner,None,Low,Core,None,8 minutes,1 minute,Strength,70,Increase duration,Low
Shoulders,Dumbbell Lying Rear Lateral Raise,Intermediate,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase weight,Low
Biceps,Lever Biceps Curl,Intermediate,Lever Machine,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Not specified,Barbell Glute Bridge On Bench,Intermediate,Barbell,Moderate,Glutes,Hamstrings,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Biceps,Cable Incline Biceps Curl,Intermediate,Cable Machine,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Shoulders,Lever Reverse Shoulder Press,Intermediate,Lever Machine,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Leg,Lever Kneeling Leg Curl,Intermediate,Lever Machine,Moderate,Legs,Hamstrings,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Abs,Standing Twist Machine,Intermediate,Twist Machine,Moderate,Core,Obliques,8 minutes,2 minutes,Strength,80,Increase resistance,Low
Shoulders,Side Lying Rear Delt Dumbbell Raise,Intermediate,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase weight,Low
Shoulders,Scapula Dips,Beginner,None,Low,Shoulders,None,8 minutes,1 minute,Strength,70,Increase reps,Low
Triceps,Triceps Extension Machine,Intermediate,Extension Machine,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Shoulders,Ez-Bar Incline Front Raise,Intermediate,EZ-Bar,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Triceps,Triceps Dip Machine,Intermediate,Dip Machine,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Abs,Seated Crunch Machine,Intermediate,Crunch Machine,Moderate,Core,None,8 minutes,2 minutes,Strength,80,Increase resistance,Low
Chest,Push-Up Plus,Beginner,None,Low,Chest,Triceps,5 minutes,1 minute,Strength,50,Increase reps,Low
Back / Wing,Seated Toe Touches,Beginner,None,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Cardio,Vibration Plate,Beginner,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,80,None,Low
Back / Wing,L-Sit Pull-Up,Advanced,None,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Back / Wing,Back Lever,Advanced,None,High,Back,None,10 minutes,3 minutes,Strength,120,Increase duration,High
Back / Wing,Swing 360,Advanced,None,High,Back,None,10 minutes,3 minutes,Strength,120,Increase duration,High
Back / Wing,Front Lever Pull-up,Advanced,None,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Shoulders,Barbell Front Raise Twist,Intermediate,Barbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Hip,Reverse Hack Squat,Intermediate,Hack Squat Machine,Moderate,Hips,Quads,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Hip,Duck Walk,Beginner,None,Low,Hips,Quads,8 minutes,1 minute,Strength,70,Increase duration,Low
Calisthenic,Single-Arm Push-up,Advanced,None,High,Upper Body,None,10 minutes,3 minutes,Strength,120,Increase reps,High
Shoulders,Kettlebell Shoulder Press,Intermediate,Kettlebell,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Trap Bar Deadlift,Advanced,Trap Bar,High,Legs,None,15 minutes,3 minutes,Strength,200,Increase weight,High
Hip,Zercher Squat,Advanced,Barbell,High,Hips,Quads,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,Front Squat,Advanced,Barbell,High,Legs,None,15 minutes,3 minutes,Strength,200,Increase weight,High
Abs,Barbell Rollout,Advanced,Barbell,High,Core,None,10 minutes,3 minutes,Strength,120,Increase duration,High
Abs,Landmine Twist,Intermediate,Landmine,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase weight,Low
Abs,Frog Crunch,Beginner,None,Low,Core,None,8 minutes,1 minute,Strength,70,Increase duration,Low
Abs,Ab Wheel Rollout,Intermediate,Ab Wheel,Moderate,Core,None,8 minutes,2 minutes,Strength,80,Increase duration,Low
Calisthenic,Wall-Supported Handstand Push-Ups,Advanced,None,High,Upper Body,None,10 minutes,3 minutes,Strength,120,Increase reps,High
Cardio,High Knees Against Wall,Beginner,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,80,None,Low
Back / Wing,Towel Shoulder Stretch,Beginner,None,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Calf,Standing Hamstring Stretch,Beginner,None,Low,Calves,None,5 minutes,1 minute,Stretch,10,None,Low
Hip,Kettlebell Thruster,Advanced,Kettlebell,High,Hips,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Full Body,One Arm Dumbbell Snatch,Advanced,Dumbbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,Single Leg Press,Intermediate,Leg Press Machine,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Cardio,Vertical Mountain Climber,Beginner,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,80,None,Low
Hip,Landmine Lunge,Intermediate,Landmine,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase weight,Low
Chest,One-Arm Kettlebell Chest Press,Intermediate,Kettlebell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Chest,Kettlebell Chest Press on the Floor,Intermediate,Kettlebell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Calf,Weighted Seated Calf Raise,Intermediate,Weight Plate,Moderate,Calves,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Chest,Wide Grip Bench Press,Intermediate,Barbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Chest,Decline Barbell Bench Press,Intermediate,Barbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Leg,Single Leg Extension,Intermediate,Leg Extension Machine,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Leg,Smith Machine Leg Press,Intermediate,Smith Machine,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Band Front Lateral Raise,Intermediate,Resistance Band,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Hip,Smith Machine Lunge,Intermediate,Smith Machine,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Skater Squat,Intermediate,None,Moderate,Legs,None,10 minutes,2 minutes,Strength,90,Increase reps,Low
Shoulders,Shoulder Pendulum,Beginner,None,Low,Shoulders,None,5 minutes,1 minute,Stretch,10,None,Low
Chest,One Arm Push Ups With Support,Intermediate,None,Moderate,Chest,Triceps,10 minutes,2 minutes,Strength,90,Increase reps,Low
Chest,Band Standing Chest Press,Intermediate,Resistance Band,Moderate,Chest,Triceps,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Leg,Shrimp Squat,Advanced,None,High,Legs,None,10 minutes,3 minutes,Strength,120,Increase reps,High
Shoulders,90-Degree Cable External Rotation,Intermediate,Cable Machine,Moderate,Shoulders,Rotator Cuff,10 minutes,2 minutes,Strength,85,Increase resistance,Low
Shoulders,90-degree Cable Internal Rotation,Intermediate,Cable Machine,Moderate,Shoulders,Rotator Cuff,10 minutes,2 minutes,Strength,85,Increase resistance,Low
Hip,Towel Leg Curl,Beginner,Towel,Low,Hips,Hamstrings,8 minutes,1 minute,Strength,70,Increase duration,Low
Cardio,Single Leg Hip Thrust Jump,Intermediate,None,Moderate,Cardio,None,10 minutes,2 minutes,Aerobic,90,None,Low
Chest,Seated Chest Stretch,Beginner,None,Low,Chest,None,5 minutes,1 minute,Stretch,10,None,Low
Shoulders,Seated Ballerina Exercise,Beginner,None,Low,Shoulders,None,5 minutes,1 minute,Stretch,10,None,Low
Shoulders,Seated Scapular Retraction Exercise,Beginner,None,Low,Shoulders,None,5 minutes,1 minute,Stretch,10,None,Low
Leg,Foam Roller IT (iliotibial Band) Stretch,Beginner,Foam Roller,Low,Legs,None,5 minutes,1 minute,Stretch,10,None,Low
Back / Wing,Foam Roller Back Stretch,Beginner,Foam Roller,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Back / Wing,Foam Roller Rhomboids,Beginner,Foam Roller,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Hip,Foam Roller Glutes,Beginner,Foam Roller,Low,Hips,None,5 minutes,1 minute,Stretch,10,None,Low
Leg,Foam Roller Quads,Beginner,Foam Roller,Low,Legs,None,5 minutes,1 minute,Stretch,10,None,Low
Shoulders,Foam Roller Posterior Shoulder,Beginner,Foam Roller,Low,Shoulders,None,5 minutes,1 minute,Stretch,10,None,Low
Chest,Foam Roller Chest Stretch,Beginner,Foam Roller,Low,Chest,None,5 minutes,1 minute,Stretch,10,None,Low
Back / Wing,Foam Roller Upper Back,Beginner,Foam Roller,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Back / Wing,Foam Roller Lat Stretch,Beginner,Foam Roller,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Hip,Foam Roller Inner Thigh Adductor Stretch,Beginner,Foam Roller,Low,Hips,None,5 minutes,1 minute,Stretch,10,None,Low
Leg,Foam Roller Hamstrings,Beginner,Foam Roller,Low,Legs,None,5 minutes,1 minute,Stretch,10,None,Low
Chest,Foam Roller Front Shoulder and Chest,Beginner,Foam Roller,Low,Chest,None,5 minutes,1 minute,Stretch,10,None,Low
Leg,Foam Roller Plantar Fasciitis,Beginner,Foam Roller,Low,Legs,None,5 minutes,1 minute,Stretch,10,None,Low
Calf,Foam Roller Calves,Beginner,Foam Roller,Low,Calves,None,5 minutes,1 minute,Stretch,10,None,Low
Shoulders,Rotator Cuff Stretch,Beginner,None,Low,Shoulders,None,5 minutes,1 minute,Stretch,10,None,Low
Chest,Assisted Reverse Stretch (Chest And Shoulder),Beginner,None,Low,Chest,Shoulders,5 minutes,1 minute,Stretch,10,None,Low
Calf,Band Foot External Rotation,Beginner,Resistance Band,Low,Calves,None,5 minutes,1 minute,Stretch,10,None,Low
Abs,Lying Upper Body Rotation,Beginner,None,Low,Core,None,5 minutes,1 minute,Stretch,10,None,Low
Back / Wing,Lever Pullover,Intermediate,Lever Machine,Moderate,Back,Chest,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Hip,90/90 Hip Stretch,Beginner,None,Low,Hips,None,5 minutes,1 minute,Stretch,10,None,Low
Back / Wing,One Arm Chin-Up,Advanced,None,High,Back,Biceps,10 minutes,3 minutes,Strength,150,Increase reps,High
Back / Wing,Scapula Pull-up,Intermediate,None,Moderate,Back,None,10 minutes,2 minutes,Strength,90,Increase reps,Low
Back / Wing,Archer Pull-up,Advanced,None,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Back / Wing,Jumping Pull-up,Beginner,None,Low,Back,Biceps,10 minutes,2 minutes,Strength,80,Increase reps,Low
Back / Wing,Commando Pull-up,Intermediate,None,Moderate,Back,Biceps,10 minutes,2 minutes,Strength,90,Increase reps,Low
Back / Wing,Behind The Neck Pull-up,Advanced,None,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Chest,Lever Decline Chest Press,Intermediate,Lever Machine,Moderate,Chest,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Back / Wing,Cable One-Arm Pulldown,Intermediate,Cable Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Abs,Bicycle Twisting Crunch,Intermediate,None,Moderate,Core,Obliques,8 minutes,2 minutes,Strength,80,Increase reps,Low
Triceps,Decline Close-Grip Bench To Skull Crusher,Intermediate,Barbell,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Back / Wing,Barbell Decline Bent Arm Pullover,Intermediate,Barbell,Moderate,Back,Chest,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Erector Spinae,Stiff Leg Deadlift,Intermediate,Barbell,Moderate,Lower Back,Hamstrings,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Back / Wing,Dead Hang,Beginner,None,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Erector Spinae,Kneeling Back Rotation,Beginner,None,Low,Lower Back,None,5 minutes,1 minute,Stretch,10,None,Low
Shoulders,Serratus Wall Slide With Foam Roller,Beginner,Foam Roller,Low,Shoulders,None,5 minutes,1 minute,Stretch,10,None,Low
Abs,Fish Pose,Beginner,None,Low,Core,None,5 minutes,1 minute,Stretch,10,None,Low
